2026-06-10 21:06:42 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-10 21:06:42 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-10 21:06:44 | INFO     | backlink_automation | Worker stopped by user.
2026-06-10 21:25:18 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-10 21:25:18 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-10 21:25:43 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-10 21:25:43 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-10 21:31:36 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-10 21:31:36 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-10 21:31:41 | INFO     | backlink_automation | Found 2 pending workflow runs. Starting concurrent sessions...
2026-06-10 21:31:42 | INFO     | backlink_automation | [TaskRun 2644d252-72a1-4c2b-bbab-0762e8fddc68] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-10 21:31:43 | INFO     | backlink_automation | [TaskRun 2644d252-72a1-4c2b-bbab-0762e8fddc68] Routing to template: pligg
2026-06-10 21:31:43 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://livebookmarking.com for client_site=https://facebook.com, keyword=Taigun price in kerala
2026-06-10 21:31:43 | INFO     | backlink_automation | Navigating to home page
2026-06-10 21:31:43 | INFO     | backlink_automation | [TaskRun 44932816-99a8-4f07-931a-8d519fa21588] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-10 21:31:44 | INFO     | backlink_automation | [TaskRun 44932816-99a8-4f07-931a-8d519fa21588] Routing to template: pligg
2026-06-10 21:31:44 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://livebookmarking.com for client_site=https://facebook.com, keyword=Taigun price in kerala
2026-06-10 21:31:44 | INFO     | backlink_automation | Navigating to home page
2026-06-10 21:31:44 | ERROR    | backlink_automation | Automation failed: Page.goto: net::ERR_ABORTED at https://livebookmarking.com/
Call log:
  - navigating to "https://livebookmarking.com/", waiting until "domcontentloaded"

2026-06-10 21:31:44 | ERROR    | backlink_automation | [TaskRun 2644d252-72a1-4c2b-bbab-0762e8fddc68] Pligg execution failed: Page.goto: net::ERR_ABORTED at https://livebookmarking.com/
Call log:
  - navigating to "https://livebookmarking.com/", waiting until "domcontentloaded"

2026-06-10 21:31:48 | INFO     | backlink_automation | Not logged in. Starting registration flow.
2026-06-10 21:31:48 | INFO     | backlink_automation | Registration started with username=backlinkutej18b1
2026-06-10 21:32:05 | INFO     | backlink_automation | Registration attempt 1/3
2026-06-10 21:32:27 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 21:32:29 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 21:32:29 | ERROR    | backlink_automation | twocaptcha is not installed. Run: pip install 2captcha-python
2026-06-10 21:32:42 | WARNING  | backlink_automation | Invalid captcha detected. Retrying...
2026-06-10 21:32:42 | INFO     | backlink_automation | Registration attempt 2/3
